stock_code,market
000001.SZ,SZ
000002.SZ,SZ
000004.SZ,SZ
000006.SZ,SZ
000007.SZ,SZ
000008.SZ,SZ
000009.SZ,SZ
000010.SZ,SZ
000011.SZ,SZ
000012.SZ,SZ
000014.SZ,SZ
000016.SZ,SZ
000017.SZ,SZ
000019.SZ,SZ
000020.SZ,SZ
000021.SZ,SZ
000025.SZ,SZ
000026.SZ,SZ
000027.SZ,SZ
000028.SZ,SZ
000029.SZ,SZ
000030.SZ,SZ
000031.SZ,SZ
000032.SZ,SZ
000034.SZ,SZ
000035.SZ,SZ
000036.SZ,SZ
000037.SZ,SZ
000039.SZ,SZ
000042.SZ,SZ
000045.SZ,SZ
000048.SZ,SZ
000049.SZ,SZ
000050.SZ,SZ
000055.SZ,SZ
000056.SZ,SZ
000058.SZ,SZ
000059.SZ,SZ
000060.SZ,SZ
000061.SZ,SZ
000062.SZ,SZ
000063.SZ,SZ
000065.SZ,SZ
000066.SZ,SZ
000068.SZ,SZ
000069.SZ,SZ
000070.SZ,SZ
000078.SZ,SZ
000088.SZ,SZ
000089.SZ,SZ
000090.SZ,SZ
000096.SZ,SZ
000099.SZ,SZ
000100.SZ,SZ
000151.SZ,SZ
000153.SZ,SZ
000155.SZ,SZ
000156.SZ,SZ
000157.SZ,SZ
000158.SZ,SZ
000159.SZ,SZ
000166.SZ,SZ
000301.SZ,SZ
000333.SZ,SZ
000338.SZ,SZ
000400.SZ,SZ
000401.SZ,SZ
000402.SZ,SZ
000403.SZ,SZ
000404.SZ,SZ
000407.SZ,SZ
000408.SZ,SZ
000409.SZ,SZ
000410.SZ,SZ
000411.SZ,SZ
000415.SZ,SZ
000417.SZ,SZ
000419.SZ,SZ
000420.SZ,SZ
000421.SZ,SZ
000422.SZ,SZ
000423.SZ,SZ
000425.SZ,SZ
000426.SZ,SZ
000428.SZ,SZ
000429.SZ,SZ
000430.SZ,SZ
000488.SZ,SZ
000498.SZ,SZ
000501.SZ,SZ
000503.SZ,SZ
000504.SZ,SZ
000505.SZ,SZ
000506.SZ,SZ
000507.SZ,SZ
000509.SZ,SZ
000510.SZ,SZ
000513.SZ,SZ
000514.SZ,SZ
000516.SZ,SZ
000517.SZ,SZ
000518.SZ,SZ
000519.SZ,SZ
000520.SZ,SZ
000521.SZ,SZ
000523.SZ,SZ
000524.SZ,SZ
000525.SZ,SZ
000526.SZ,SZ
000528.SZ,SZ
000529.SZ,SZ
000530.SZ,SZ
000531.SZ,SZ
000532.SZ,SZ
000533.SZ,SZ
000534.SZ,SZ
000536.SZ,SZ
000537.SZ,SZ
000538.SZ,SZ
000539.SZ,SZ
000541.SZ,SZ
000543.SZ,SZ
000544.SZ,SZ
000545.SZ,SZ
000546.SZ,SZ
000547.SZ,SZ
000548.SZ,SZ
000550.SZ,SZ
000551.SZ,SZ
000552.SZ,SZ
000553.SZ,SZ
000554.SZ,SZ
000555.SZ,SZ
000557.SZ,SZ
000558.SZ,SZ
000559.SZ,SZ
000560.SZ,SZ
000561.SZ,SZ
000563.SZ,SZ
000564.SZ,SZ
000565.SZ,SZ
000566.SZ,SZ
000567.SZ,SZ
000568.SZ,SZ
000570.SZ,SZ
000571.SZ,SZ
000572.SZ,SZ
000573.SZ,SZ
000576.SZ,SZ
000581.SZ,SZ
000582.SZ,SZ
000586.SZ,SZ
000589.SZ,SZ
000590.SZ,SZ
000591.SZ,SZ
000592.SZ,SZ
000593.SZ,SZ
000595.SZ,SZ
000596.SZ,SZ
000597.SZ,SZ
000598.SZ,SZ
000599.SZ,SZ
000600.SZ,SZ
000601.SZ,SZ
000603.SZ,SZ
000605.SZ,SZ
000607.SZ,SZ
000608.SZ,SZ
000609.SZ,SZ
000610.SZ,SZ
000612.SZ,SZ
000615.SZ,SZ
000617.SZ,SZ
000619.SZ,SZ
000620.SZ,SZ
000623.SZ,SZ
000625.SZ,SZ
000626.SZ,SZ
000628.SZ,SZ
000629.SZ,SZ
000630.SZ,SZ
000631.SZ,SZ
000632.SZ,SZ
000633.SZ,SZ
000635.SZ,SZ
000636.SZ,SZ
000637.SZ,SZ
000639.SZ,SZ
000650.SZ,SZ
000651.SZ,SZ
000652.SZ,SZ
000655.SZ,SZ
000656.SZ,SZ
000657.SZ,SZ
000659.SZ,SZ
000661.SZ,SZ
000663.SZ,SZ
000665.SZ,SZ
000668.SZ,SZ
000669.SZ,SZ
000670.SZ,SZ
000672.SZ,SZ
000676.SZ,SZ
000677.SZ,SZ
000678.SZ,SZ
000679.SZ,SZ
000680.SZ,SZ
000681.SZ,SZ
000682.SZ,SZ
000683.SZ,SZ
000685.SZ,SZ
000686.SZ,SZ
000688.SZ,SZ
000690.SZ,SZ
000691.SZ,SZ
000692.SZ,SZ
000695.SZ,SZ
000697.SZ,SZ
000698.SZ,SZ
000700.SZ,SZ
000701.SZ,SZ
000702.SZ,SZ
000703.SZ,SZ
000705.SZ,SZ
000707.SZ,SZ
000708.SZ,SZ
000709.SZ,SZ
000710.SZ,SZ
000711.SZ,SZ
000712.SZ,SZ
000713.SZ,SZ
000715.SZ,SZ
000716.SZ,SZ
000717.SZ,SZ
000718.SZ,SZ
000719.SZ,SZ
000720.SZ,SZ
000721.SZ,SZ
000722.SZ,SZ
000723.SZ,SZ
000725.SZ,SZ
000726.SZ,SZ
000727.SZ,SZ
000728.SZ,SZ
000729.SZ,SZ
000731.SZ,SZ
000733.SZ,SZ
000735.SZ,SZ
000736.SZ,SZ
000737.SZ,SZ
000738.SZ,SZ
000739.SZ,SZ
000750.SZ,SZ
000751.SZ,SZ
000752.SZ,SZ
000753.SZ,SZ
000755.SZ,SZ
000756.SZ,SZ
000757.SZ,SZ
000758.SZ,SZ
000759.SZ,SZ
000761.SZ,SZ
000762.SZ,SZ
000766.SZ,SZ
000767.SZ,SZ
000768.SZ,SZ
000776.SZ,SZ
000777.SZ,SZ
000778.SZ,SZ
000779.SZ,SZ
000782.SZ,SZ
000783.SZ,SZ
000785.SZ,SZ
000786.SZ,SZ
000788.SZ,SZ
000789.SZ,SZ
000790.SZ,SZ
000791.SZ,SZ
000792.SZ,SZ
000793.SZ,SZ
000795.SZ,SZ
000796.SZ,SZ
000797.SZ,SZ
000798.SZ,SZ
000799.SZ,SZ
000800.SZ,SZ
000801.SZ,SZ
000802.SZ,SZ
000803.SZ,SZ
000807.SZ,SZ
000809.SZ,SZ
000810.SZ,SZ
000811.SZ,SZ
000812.SZ,SZ
000813.SZ,SZ
000815.SZ,SZ
000816.SZ,SZ
000818.SZ,SZ
000819.SZ,SZ
000820.SZ,SZ
000821.SZ,SZ
000822.SZ,SZ
000823.SZ,SZ
000825.SZ,SZ
000826.SZ,SZ
000828.SZ,SZ
000829.SZ,SZ
000830.SZ,SZ
000831.SZ,SZ
000833.SZ,SZ
000837.SZ,SZ
000838.SZ,SZ
000839.SZ,SZ
000848.SZ,SZ
000850.SZ,SZ
000852.SZ,SZ
000856.SZ,SZ
000858.SZ,SZ
000859.SZ,SZ
000860.SZ,SZ
000862.SZ,SZ
000863.SZ,SZ
000868.SZ,SZ
000869.SZ,SZ
000875.SZ,SZ
000876.SZ,SZ
000877.SZ,SZ
000878.SZ,SZ
000880.SZ,SZ
000881.SZ,SZ
000882.SZ,SZ
000883.SZ,SZ
000885.SZ,SZ
000886.SZ,SZ
000887.SZ,SZ
000888.SZ,SZ
000889.SZ,SZ
000890.SZ,SZ
000892.SZ,SZ
000893.SZ,SZ
000895.SZ,SZ
000897.SZ,SZ
000898.SZ,SZ
000899.SZ,SZ
000900.SZ,SZ
000901.SZ,SZ
000902.SZ,SZ
000903.SZ,SZ
000905.SZ,SZ
000906.SZ,SZ
000908.SZ,SZ
000909.SZ,SZ
000910.SZ,SZ
000911.SZ,SZ
000912.SZ,SZ
000913.SZ,SZ
000915.SZ,SZ
000917.SZ,SZ
000919.SZ,SZ
000920.SZ,SZ
000921.SZ,SZ
000922.SZ,SZ
000923.SZ,SZ
000925.SZ,SZ
000926.SZ,SZ
000927.SZ,SZ
000928.SZ,SZ
000929.SZ,SZ
000930.SZ,SZ
000931.SZ,SZ
000932.SZ,SZ
000933.SZ,SZ
000935.SZ,SZ
000936.SZ,SZ
000937.SZ,SZ
000938.SZ,SZ
000948.SZ,SZ
000949.SZ,SZ
000950.SZ,SZ
000951.SZ,SZ
000952.SZ,SZ
000953.SZ,SZ
000955.SZ,SZ
000957.SZ,SZ
000958.SZ,SZ
000959.SZ,SZ
000960.SZ,SZ
000962.SZ,SZ
000963.SZ,SZ
000965.SZ,SZ
000966.SZ,SZ
000967.SZ,SZ
000968.SZ,SZ
000969.SZ,SZ
000970.SZ,SZ
000972.SZ,SZ
000973.SZ,SZ
000975.SZ,SZ
000977.SZ,SZ
000978.SZ,SZ
000980.SZ,SZ
000981.SZ,SZ
000983.SZ,SZ
000985.SZ,SZ
000987.SZ,SZ
000988.SZ,SZ
000989.SZ,SZ
000990.SZ,SZ
000993.SZ,SZ
000995.SZ,SZ
000997.SZ,SZ
000998.SZ,SZ
000999.SZ,SZ
001201.SZ,SZ
001202.SZ,SZ
001203.SZ,SZ
001205.SZ,SZ
001206.SZ,SZ
001207.SZ,SZ
001208.SZ,SZ
001209.SZ,SZ
001210.SZ,SZ
001211.SZ,SZ
001212.SZ,SZ
001213.SZ,SZ
001215.SZ,SZ
001216.SZ,SZ
001217.SZ,SZ
001218.SZ,SZ
001219.SZ,SZ
001220.SZ,SZ
001221.SZ,SZ
001222.SZ,SZ
001223.SZ,SZ
001225.SZ,SZ
001226.SZ,SZ
001227.SZ,SZ
001228.SZ,SZ
001229.SZ,SZ
001230.SZ,SZ
001231.SZ,SZ
001233.SZ,SZ
001234.SZ,SZ
001236.SZ,SZ
001237.SZ,SZ
001238.SZ,SZ
001239.SZ,SZ
001255.SZ,SZ
001256.SZ,SZ
001257.SZ,SZ
001258.SZ,SZ
001259.SZ,SZ
001260.SZ,SZ
001266.SZ,SZ
001267.SZ,SZ
001268.SZ,SZ
001269.SZ,SZ
001270.SZ,SZ
001277.SZ,SZ
001278.SZ,SZ
001279.SZ,SZ
001280.SZ,SZ
001282.SZ,SZ
001283.SZ,SZ
001285.SZ,SZ
001286.SZ,SZ
001287.SZ,SZ
001288.SZ,SZ
001289.SZ,SZ
001296.SZ,SZ
001298.SZ,SZ
001299.SZ,SZ
001300.SZ,SZ
001301.SZ,SZ
001306.SZ,SZ
001308.SZ,SZ
001309.SZ,SZ
001311.SZ,SZ
001312.SZ,SZ
001313.SZ,SZ
001314.SZ,SZ
001316.SZ,SZ
001317.SZ,SZ
001318.SZ,SZ
001319.SZ,SZ
001322.SZ,SZ
001323.SZ,SZ
001324.SZ,SZ
001325.SZ,SZ
001326.SZ,SZ
001328.SZ,SZ
001330.SZ,SZ
001331.SZ,SZ
001332.SZ,SZ
001333.SZ,SZ
001335.SZ,SZ
001336.SZ,SZ
001337.SZ,SZ
001338.SZ,SZ
001339.SZ,SZ
001356.SZ,SZ
001358.SZ,SZ
001359.SZ,SZ
001360.SZ,SZ
001365.SZ,SZ
001366.SZ,SZ
001367.SZ,SZ
001368.SZ,SZ
001369.SZ,SZ
